"","id","dob","year","date","cmj_height","cmj_rsi","ct","epv","rel_pp","con_imp","age_at_test","group","height","sit_height","time_point","mass","rel_peak","peak_v_f","mean_rsi_fc_time","mean_rsi_ms"
"1","ETC01",2012-02-28,"25_26",2025-04-15,26.9,0.36,749,-0.9,44.2,104.9,13.13,"u13s",153.5,82.5,"April 2025",49.7,30.98,1540,2.58,1.21
"2","ETC01",2012-02-28,"25_26",2024-08-29,26.3,0.45,655,-0.77,46.4,98.8,12.5,"u13s",151,82,"August 2024",45.2,26.39,1193,2.4,1.2
"3","ETC01",2012-02-28,"25_26",2024-04-04,25.4,0.42,612,-0.94,45.3,93.6,12.1,"u13s",149,81.4,"April 2024",41.6,30.19,1256,2.63,1.54
"4","ETC02",2012-03-05,"25_26",2025-04-15,23.9,0.37,655,-0.87,40.7,92.9,13.11,"u13s",158.5,NA,"April 2025",46,33.81,1555,2.43,1.07
"5","ETC02",2012-03-05,"25_26",2024-04-05,20.9,0.34,612,-0.85,37.9,76.9,12.08,"u13s",150,80.6,"April 2024",37.6,35.46,1333,1.86,0.74
"6","ETC02",2012-03-05,"25_26",2024-02-16,20.7,0.33,621,-0.6,39.3,76,11.95,"u13s",148,78,"Feb 2024",37.4,26.58,994,1.76,0.71
"7","ETC05",2013-04-25,"25_26",2026-01-05,18.1,0.29,636,-1.09,33.3,111.2,12.7,"u14s",163.1,84.4,"Jan 2026",59.3,25.48,1511,2.37,1.14
"8","ETC05",2013-04-25,"25_26",2024-08-29,14.7,0.25,608,-1.02,31.2,87.2,11.35,"u12s",155,80.2,"August 2024",52.3,22.55,1179,2.16,0.99
"9","ETC05",2013-04-25,"25_26",2024-04-05,12.9,0.34,387,-0.88,34.1,76,10.95,"u12s",153.4,79.1,"April 2024",47.5,23.67,1124,1.88,0.86
"10","ETC05",2013-04-25,"25_26",2024-02-16,12.9,0.22,579,-0.94,30.7,74.2,10.81,"u12s",151,78,"Feb 2024",45.9,23.21,1065,2.02,0.94
"11","ETC07",2011-01-11,"25_26",2025-04-16,26.8,0.5,550,-1.12,46.4,113.7,14.26,"u13s",168.2,87.7,"April 2025",49.4,33.73,1666,2.48,1.37
"12","ETC07",2011-01-11,"25_26",2024-08-29,26.2,0.44,638,-0.97,45,104.5,13.63,"u13s",164.95,85.6,"August 2024",38.8,36.82,1429,2.36,1.07
"13","ETC07",2011-01-11,"25_26",2024-04-05,19.4,0.34,562,-0.8,38.8,85,13.23,"u13s",162.6,83.8,"April 2024",43.7,32.87,1437,2.27,0.98
"14","ETC07",2011-01-11,"25_26",2024-02-16,19.9,0.35,577,-1.03,39,84.2,13.1,"u13s",160,81,"Feb 2024",41.8,33.85,1415,2.25,0.93
"15","ETC101",2014-08-17,"25_26",2026-01-05,23,0.38,604,-0.78,41.3,95.7,11.39,"u12s",149.3,79.7,"Jan 2026",45.9,28.04,1287,2.2,1.1
"16","ETC102",2014-08-05,"25_26",2026-01-05,13.3,0.2,667,-1.02,26.5,84.7,11.42,"u12s",153.6,82.5,"Jan 2026",52.3,24.93,1304,1.82,0.68
"17","ETC104",2015-02-24,"25_26",2026-01-05,18.2,0.32,570,-1.13,32.1,58,10.86,"u12s",143,72.8,"Jan 2026",30.6,29.08,890,2.28,0.99
"18","ETC105",2013-11-27,"25_26",2026-01-05,14,0.23,602,-0.75,31.2,114.8,12.11,"u12s",156.2,83.6,"Jan 2026",69.4,24.91,1729,1.59,0.57
"19","ETC107",2014-09-23,"25_26",2026-01-05,17.6,0.3,595,-0.91,36.1,93.5,11.28,"u12s",165.7,86.3,"Jan 2026",50.3,30.87,1553,2.05,0.99
"20","ETC11",2012-09-08,"25_26",2026-01-05,20.5,0.29,702,-1.23,34.9,123,13.33,"u14s",172,84.7,"Jan 2026",61.9,29.7,1838,2.74,1.4
"21","ETC11",2012-09-08,"25_26",2024-04-04,20.6,0.34,622,-0.83,38.6,105.1,11.57,"u13s",161.7,-27.8,"April 2024",51,26.16,1334,2.36,1.12
"22","ETC112",2013-06-03,"25_26",2026-01-05,20.2,0.24,845,-1.4,32.9,95.2,12.59,"u14s",155.2,83.3,"Jan 2026",47.8,32.01,1530,2.24,1.03
"23","ETC113",2012-04-24,"25_26",2026-01-05,23.4,0.35,677,-0.97,38.4,127.2,13.7,"u14s",162,88.8,"Jan 2026",59.8,28.81,1723,2.25,1.17
"24","ETC15",2012-10-02,"25_26",2025-04-16,19.3,0.26,735,-1.19,32.7,76.4,12.54,"u13s",153,80.2,"April 2025",39.9,27.87,1112,3.48,1.8
"25","ETC15",2012-10-02,"25_26",2024-08-29,18.1,0.25,768,-0.78,31.7,69,11.91,"u13s",149.1,76.35,"August 2024",31.9,33.16,1058,3.39,1.83
"26","ETC15",2012-10-02,"25_26",2024-04-04,16.9,0.25,668,-1.01,31.3,61.9,11.51,"u13s",145.4,76.2,"April 2024",35.1,27.72,973,3.24,1.66
"27","ETC15",2012-10-02,"25_26",2024-02-16,16.9,0.32,561,-0.7,32.4,62.2,11.37,"u13s",145,75,"Feb 2024",33.6,29.32,985,3.21,1.57
"28","ETC16",2013-04-23,"25_26",2026-01-05,20.7,0.23,918,-1.27,34.4,95.2,12.7,"u14s",152,83.5,"Jan 2026",47.5,33.94,1612,2.38,1.28
"29","ETC16",2013-04-23,"25_26",2025-04-15,22.3,0.28,808,-0.97,36.7,88.6,11.98,"u12s",146.6,NA,"April 2025",46.7,26.96,1259,2.51,1.32
"30","ETC16",2013-04-23,"25_26",2024-08-28,19.4,0.26,845,-1.15,32.6,74.9,11.35,"u12s",143.8,78,"August 2024",31.2,42.08,1313,2.55,1.37
"31","ETC16",2013-04-23,"25_26",2024-04-05,22.1,0.22,1007,-0.91,35.2,74.4,10.95,"u12s",139.4,75,"April 2024",35.5,29.11,1034,2.35,1.27
"32","ETC16",2013-04-23,"25_26",2024-02-23,21.9,0.25,881,-1.34,33.4,73.1,10.84,"u12s",138,75,"Feb 2024",35,27.58,965,2.66,1.41
"33","ETC17",2013-03-28,"25_26",2026-01-05,17.1,0.23,748,-1.23,30.4,86.9,12.78,"u14s",152.7,79.7,"Jan 2026",47.9,30.96,1483,1.82,0.72
